,Neighborhood,NeighborhoodLatitude,NeighborhoodLongitude,Venue_Count,Venue,VenueLatitude,VenueLongitude,VenueCategory
0,Nawagampura,6.945492722489605,79.87717064495402,1,Anton Ground Floor Cafeteria,6.9415374,79.87923,Cafeteria
1,Soysapura South,6.803476337096311,79.88298444565291,4,Pawana Restaurant,6.805075564158774,79.88436191595788,Restaurant
2,Soysapura South,6.803476337096311,79.88298444565291,4,perera & sons,6.805549020809561,79.88455875972242,Bakery
3,Soysapura South,6.803476337096311,79.88298444565291,4,Friends Bakers,6.805638479566733,79.88528051642378,Snack Place
4,Soysapura South,6.803476337096311,79.88298444565291,4,Shanghai Hotel,6.800471020511042,79.88156231251784,Chinese Restaurant
5,Slave Island,6.925610129615504,79.85018612292944,5,Fazly's Halal Refreshments,6.923884461891799,79.85065052314339,Fast Food Restaurant
6,Slave Island,6.925610129615504,79.85018612292944,5,Long Feng Chinese Restaurant,6.92931309137986,79.84981668982115,Chinese Restaurant
7,Slave Island,6.925610129615504,79.85018612292944,5,Royal Thai Restaurant,6.929312426638841,79.8498253944501,Thai Restaurant
8,Slave Island,6.925610129615504,79.85018612292944,5,Latitude - Taj Samudra,6.922730419306817,79.84709326970436,Restaurant
9,Slave Island,6.925610129615504,79.85018612292944,5,Ports Of Call,6.922673,79.846936,Restaurant
10,Maligakanda,6.92867846748557,79.86829248798621,9,Ricorn Hotel and Backery,6.92691580722809,79.86524496605584,Bakery
11,Maligakanda,6.92867846748557,79.86829248798621,9,Hotel De Buhari,6.929492437557499,79.8644240101377,Asian Restaurant
12,Maligakanda,6.92867846748557,79.86829248798621,9,Dhavalagiri Hotel,6.9271358777887135,79.86541889338295,Vegetarian / Vegan Restaurant
13,Maligakanda,6.92867846748557,79.86829248798621,9,Al-Maas Family Restaurant,6.927557848691003,79.86773796518837,Indian Restaurant
14,Maligakanda,6.92867846748557,79.86829248798621,9,Big bite Biriyani,6.930043560375779,79.86995831914844,Fast Food Restaurant
15,Maligakanda,6.92867846748557,79.86829248798621,9,Dawalagiri Vegetarian Food,6.926941926917487,79.8653972359,Vegetarian / Vegan Restaurant
16,Maligakanda,6.92867846748557,79.86829248798621,9,Dhawalagiriya,6.926987292679809,79.86527691635938,Restaurant
17,Maligakanda,6.92867846748557,79.86829248798621,9,Ibrahim Beruwala Kidu,6.926699373307715,79.8653261380095,Asian Restaurant
18,Maligakanda,6.92867846748557,79.86829248798621,9,Food Land Hotel,6.926686829184705,79.86521675652746,Restaurant
19,Egoda Uyana North,6.7345111233522825,79.89744003968956,3,Diana Foods,6.73461184836924,79.8981689382344,Restaurant
20,Egoda Uyana North,6.7345111233522825,79.89744003968956,3,Werala Restaurant,6.7317824,79.89589,Asian Restaurant
21,Egoda Uyana North,6.7345111233522825,79.89744003968956,3,Hotel Pennisuella,6.7389068603515625,79.89668273925781,Restaurant
22,Katukurunda North,6.747259946602741,79.89197092462253,1,Hotel Ran Diya,6.750664795305494,79.89397393854556,Restaurant
23,Kotahena West,6.949052011737924,79.86055125617845,10,Sri Vaishnavi Vihar,6.949130715827919,79.86259696272799,Indian Restaurant
24,Kotahena West,6.949052011737924,79.86055125617845,10,Pizza Hut,6.948814282639385,79.85970836357376,Pizza Place
25,Kotahena West,6.949052011737924,79.86055125617845,10,Dharbar Hotel,6.949648918934147,79.86270521747066,Asian Restaurant
26,Kotahena West,6.949052011737924,79.86055125617845,10,Flag & Whistle,6.952660070297784,79.85841603115249,German Restaurant
27,Kotahena West,6.949052011737924,79.86055125617845,10,Perera and Sons,6.9459514039434005,79.85980136204165,Bakery
28,Kotahena West,6.949052011737924,79.86055125617845,10,Dilish,6.94844098886795,79.86223697662354,Bakery
29,Kotahena West,6.949052011737924,79.86055125617845,10,Dlish,6.9483430794339585,79.86232528271641,Food Court
30,Kotahena West,6.949052011737924,79.86055125617845,10,McDonald's,6.948074631612876,79.86088720106432,Fast Food Restaurant
31,Kotahena West,6.949052011737924,79.86055125617845,10,KFC,6.948756345365346,79.85956274541408,Fast Food Restaurant
32,Kotahena West,6.949052011737924,79.86055125617845,10,Hotel Sooriya,6.945195428538086,79.8597584482025,Indian Restaurant
33,Uyana South,6.782499837537143,79.87835582357893,2,Dutch House,6.781350612640381,79.87666320800781,Burger Joint
34,Uyana South,6.782499837537143,79.87835582357893,2,Dilaj Lounge,6.780289678496543,79.8796284198761,Chinese Restaurant
35,Moratuwella South,6.767943156166099,79.88516064447322,3,Shooters,6.769582,79.88647,Chinese Restaurant
36,Moratuwella South,6.767943156166099,79.88516064447322,3,Burger Brothers,6.770306,79.88583,Burger Joint
37,Moratuwella South,6.767943156166099,79.88516064447322,3,Naliya Moratuwa,6.771376,79.884995,Sri Lankan Restaurant
38,Bodhirajapura,6.827587578286137,79.90586632061215,1,pizza hut,6.828089597700826,79.90966366159459,Pizza Place
39,Villorawatta East,6.785895620635521,79.90235633478984,1,Lagoon Dining,6.788300896102838,79.90419717737241,Restaurant
40,Koralawella South,6.751860438397745,79.89048561121996,1,Hotel Ran Diya,6.750664795305494,79.89397393854556,Restaurant
41,Aluthkade West,6.937145141140408,79.8604304321922,4,Iqbal Hotel,6.939370229737447,79.86055092680789,Asian Restaurant
42,Aluthkade West,6.937145141140408,79.8604304321922,4,Aluth Kade Tea Pot,6.937287634295248,79.86288748995914,Asian Restaurant
43,Aluthkade West,6.937145141140408,79.8604304321922,4,Deliway,6.937799402590043,79.86296893701498,Fast Food Restaurant
44,Aluthkade West,6.937145141140408,79.8604304321922,4,Floor By Aluthkade!,6.93822811401935,79.86303909567964,Asian Restaurant
45,Halpita,6.782410001903583,79.95573654308288,1,Pizza Hut,6.779317,79.954763,Pizza Place
46,Hunupitiya,6.921908097340275,79.85670307769111,15,Pizza Hut,6.919948448278436,79.85884196667047,Pizza Place
47,Hunupitiya,6.921908097340275,79.85670307769111,15,Kottuville @ Union Place,6.921429,79.856039,Fast Food Restaurant
48,Hunupitiya,6.921908097340275,79.85670307769111,15,Bread Talk,6.918045789182476,79.85843483956891,Bakery
